# ru_root_glosses.tsv -- machine-derived, UNREVIEWED candidate layer (H347, 08-07-2026)
# Source: SanskritRussian root_glossary.jsonl (corpus_lexicon Sa->Ru alignments), commit 61ad43b4f8e294ed4d383dc4a91f3a89040afe9e 2026-07-01
# Join: exact root_slp1 match against crosswalk/roots.csv, no lemma-hop, no NFD normalization (length-preserving SLP1 both sides)
# Coverage: 666/930 roots have >=1 corpus-attested RU gloss (71.6%); 264 absent from corpus_lexicon; 53 present but low-attestation (root_freq_n < 3)
# Promotion into any reviewed artifact is a separate human-gated step -- gaps stay gaps, no LLM-invented glosses.
whitney_no	root_slp1	root_iast	gloss_ru_1	count_1	gloss_ru_2	count_2	gloss_ru_3	count_3	root_freq_n	root_n_forms	homonym_shared
910	has	has	смеясь	35	улыбаясь	33	усмехаясь	16	286	54	0
911	hA	hā	оставив	54	покинув	26	лишенный	23	922	166	1
912	hA	hā	оставив	54	покинув	26	лишенный	23	922	166	1
913	hAs	hās	мчатся наперегонки	1	соревнуются	1			2	1	0
914	hi	hi	ведь	637	ибо	407	же	116	2001	70	0
915	hiMs	hiṃs	вредит	12	убил	5	губит	4	124	38	0
916	hikk	hikk							0	0	0
917	hiRq	hiṇḍ							0	0	0
918	hIq	hīḍ	выщипала	1	разъяренные	1	раздражил	1	3	3	0
919	hu	hu	жертвуют	18	совершают подношение	15	приносят	13	640	88	0
921	hU	hū							0	0	0
922	hUrC	hūrch	страдает	1					1	1	0
923	hf	hṛ	похитил	45	снес	29	похищена	24	1632	395	1
924	hf	hṛ	похитил	45	снес	29	похищена	24	1632	395	1
925	hfz	hṛṣ	радостно	35	радуется	32	обрадованный	22	648	85	0
926	heW	heṭh							0	0	0
927	heq	heḍ							0	0	0
928	hez	heṣ	заржал	2	ржущего	2	ржания	1	12	7	0
929	hnu	hnu	отпирается	2	отрицала	1	отрицают	1	10	8	0
930	hras	hras	уменьшается	2	ущербна	1	сократилась	1	4	3	0
931	hrAd	hrād	грохочущую	1					1	1	0
932	hrI	hrī	скромность	22	стыдливость	11	стыд	6	70	7	0
934	hrez	hreṣ							0	0	0
935	hlAd	hlād							0	0	0
936	hval	hval	в смятении	1	дрожащему	1	дрожа	1	7	5	0
937	hvf	hvṛ	обходящий	2	петляющий	2	сердись	2	15	9	0
